0,9,0,0,0,15,3,91,"https://ajax.googleapis.com/ http://localhost:3000/* http://*/* https://fonts.googleapis.com/css?family=Lato:300,400,700,900 tabs https://*/* https://app.huntr.co/ https://huntr.co/* storage ",2,4,0
0,1,0,0,0,25,0,5,storage ,3,16,0
0,3,0,0,0,0,0,0,bookmarks activeTab contextMenus ,0,1,0
0,6,0,0,0,0,1,65,unlimitedStorage contextMenus file://*/* tabs chrome://favicon/ storage ,3,4,0
0,6,0,0,0,0,0,2,tabGroups notifications downloads contextMenus tabs storage ,0,4,0
0,1,0,0,0,0,0,3,management ,2,3,0
0,5,0,0,0,0,0,1,webRequest <all_urls> tabs tabCapture storage ,1,3,0
0,12,0,0,0,25,0,13,https://*.findthat.email/* clipboardWrite https://*.facebook.com/* notifications webRequest unlimitedStorage tabs https://chrome.google.com/webstore/detail/* https://*.linkedin.com/* https://*.ahrefs.com/* storage webRequestBlocking ,1,16,0
0,3,0,0,0,15,0,28,tabCapture storage tabs ,3,7,0
0,2,0,0,0,0,0,9,contextMenus storage ,1,2,0
0,1,0,0,0,25,1,16,storage ,7,19,0
0,3,0,0,0,15,0,6,tabCapture storage tabs ,1,6,0
1,0,0,0,0,0,0,1,null,1,2,0
1,0,0,0,0,0,0,12,null,1,207,0
0,4,0,0,0,0,0,6,tabCapture <all_urls> storage *://*/* ,2,7,0
0,1,0,0,0,0,0,6,storage ,1,6,0
0,7,0,0,0,0,0,14,notifications unlimitedStorage tabs https://clients2.google.com/* https://ainoob.com/* management storage ,2,2,0
0,5,0,0,0,15,0,9,contextMenus bookmarks chrome://favicon/ activeTab storage ,0,9,0
0,6,0,0,0,0,1,6,https://www.springfieldsearchsolutions.com/myscreengrab/ declarativeContent <all_urls> tabs activeTab storage ,2,5,0
0,2,0,0,0,0,0,1,contextMenus storage ,0,11,0
0,3,0,0,0,0,0,4,tabs <all_urls> storage ,1,3,0
0,5,0,0,0,0,0,2,fontSettings <all_urls> tabs alarms storage ,0,3,0
0,9,0,0,0,0,0,2,declarativeNetRequestWithHostAccess webRequest contextMenus https://*.todoist.com/* tabs http://*.todoist.com/* background storage webRequestBlocking ,0,6,0
0,4,0,0,0,0,0,2,tabs activeTab contextMenus storage ,1,1,0
0,3,0,0,0,0,0,3,tabs *://plug.dj/suchdj activeTab ,0,3,0
0,3,0,0,0,0,0,2,bookmarks tabs chrome://favicon/ ,2,4,0
0,2,0,0,0,15,0,0,management storage ,1,3,0
0,1,0,0,0,0,0,6,storage ,3,41,0
0,4,0,0,0,0,0,4,tabCapture activeTab storage tabs ,2,3,0
1,0,0,0,0,0,0,0,null,1,2,0
0,4,0,0,0,0,0,1,bookmarks tabs chrome://favicon/ storage ,1,2,0
0,1,0,0,0,0,0,0,storage ,0,6,0
0,7,0,0,0,15,0,18,*://*.socialblade.com/* *://*.instagram.com/* *://*.youtube.com/* *://*.twitch.tv/* *://*.facebook.com/* *://*.twitter.com/* storage ,7,11,0
0,4,0,0,0,0,0,0,tabs clipboardWrite notifications ,1,1,0
0,3,0,0,0,0,0,1,bookmarks tabs unlimitedStorage ,0,1,0
0,2,0,0,0,0,0,7,contextMenus storage ,3,6,0
1,0,0,0,0,0,0,8,null,1,4,0
0,4,0,0,0,0,0,1,tabCapture <all_urls> storage tabs ,2,4,0
0,1,0,0,0,0,0,4,<all_urls> ,1,4,0
0,3,0,0,0,0,0,0,tabs notifications storage ,1,2,0
0,5,0,0,0,0,0,0,http://*/* bookmarks tabs https://*/* chrome://favicon/* ,1,2,0
0,4,0,0,0,15,0,10,contextMenus <all_urls> storage notifications ,3,6,0
0,2,0,0,0,0,0,5,management storage ,1,1,0
0,2,0,0,0,25,4,13,tabCapture activeTab ,2,5,0
0,6,0,0,0,0,1,6,webRequest <all_urls> tabs tabCapture storage webRequestBlocking ,3,7,0
0,4,0,0,0,15,0,5,tabs activeTab <all_urls> storage ,4,9,0
0,3,0,0,0,15,0,25,unlimitedStorage *://*.roblox.com/* storage ,2,5,0
0,9,0,0,0,0,0,11,clipboardWrite cookies notifications downloads unlimitedStorage <all_urls> contextMenus activeTab storage ,2,7,0
0,7,0,0,0,30,1,28,scripting cookies gcm notifications tabs alarms storage ,7,34,0
0,4,0,0,0,40,1,48,contextMenus clipboardWrite storage notifications ,20,40,0
1,0,0,0,0,0,0,2,null,1,5,0
